
1655956079777 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956079893 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 810.9, 33955]]}
1655956819772 :: history :: {'symbol': 'NSE:INDUSINDBK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956819856 :: {'s': 'ok', 'candles': [[1655955900, 781.0, 785.95, 776.0, 784.0, 262932], [1655956500, 784.45, 787.95, 784.45, 786.1, 101928]]}

1655956820169 :: history :: {'symbol': 'NSE:GAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956820234 :: {'s': 'ok', 'candles': [[1655955900, 133.0, 133.0, 131.1, 132.45, 706489], [1655956500, 132.35, 132.55, 131.25, 131.35, 314368]]}

1655956820544 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956820620 :: {'s': 'ok', 'candles': [[1655955900, 615.45, 619.05, 613.7, 616.3, 36602], [1655956500, 616.3, 616.45, 614.2, 614.35, 8959]]}

1655956820932 :: history :: {'symbol': 'NSE:TATAMOTORS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956821023 :: {'s': 'ok', 'candles': [[1655955900, 396.3, 398.55, 394.55, 398.15, 1061411], [1655956500, 398.2, 400.7, 398.15, 399.75, 687042]]}

1655956821335 :: history :: {'symbol': 'NSE:IOC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956821408 :: {'s': 'ok', 'candles': [[1655955900, 106.0, 106.4, 105.15, 106.2, 884395], [1655956500, 106.2, 106.3, 105.9, 106.15, 126645]]}

