,SYMBOL,01-JUN-2022,02-JUN-2022,03-JUN-2022,06-JUN-2022,07-JUN-2022,08-JUN-2022,09-JUN-2022,10-JUN-2022,13-JUN-2022,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,20-JUN-2022,V AVERAGE
73,NTPC,0.3515,0.3515,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3534,0.3515,0.3534,0.3554,0.3554,0.3554,0.352
20,IOC,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.3515,0.3515,0.3496,0.3534,0.3515,0.351
74,SIEMENS,0.3554,0.3534,0.3554,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.351
1,ACC,0.3534,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3477,0.3458,0.35
25,BHARTIARTL,0.3496,0.3496,0.3496,0.3477,0.3477,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3496,0.3496,0.3496,0.349
28,HCLTECH,0.3496,0.3515,0.3496,0.3496,0.3496,0.3477,0.3477,0.3458,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.348
65,SBILIFE,0.3477,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.344
81,POWERGRID,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.342
36,BERGEPAINT,0.3401,0.342,0.342,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.342,0.342
46,HDFCBANK,0.3439,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3382,0.341
87,LT,0.3401,0.3401,0.3382,0.3382,0.3401,0.3382,0.3382,0.3382,0.3401,0.3401,0.3382,0.3382,0.3401,0.3401,0.339
27,INFY,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.3382,0.3401,0.3401,0.3401,0.3401,0.3382,0.3401,0.339
71,SUNPHARMA,0.3324,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3286,0.3286,0.3305,0.3305,0.331
23,PIDILITIND,0.3267,0.3267,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3229,0.3286,0.3362,0.327
24,DRREDDY,0.3267,0.3248,0.3248,0.3248,0.3267,0.3267,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.3286,0.3286,0.327
30,BAJAJ-AUTO,0.321,0.321,0.3191,0.3229,0.3229,0.3229,0.3229,0.321,0.321,0.3286,0.3267,0.3267,0.3267,0.3248,0.323
52,CIPLA,0.321,0.321,0.3229,0.3229,0.321,0.321,0.321,0.3191,0.3191,0.3191,0.3171,0.3191,0.321,0.321,0.32
82,ITC,0.3191,0.3171,0.3171,0.3171,0.3152,0.3152,0.3152,0.3152,0.3152,0.3152,0.3133,0.3133,0.3133,0.3114,0.315
45,MARICO,0.3076,0.3076,0.3076,0.3057,0.3076,0.3076,0.3076,0.3057,0.3057,0.3057,0.3057,0.3057,0.3057,0.3076,0.307
92,PGHH,0.2999,0.2999,0.3019,0.3019,0.3019,0.2999,0.2999,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.3
18,HINDUNILVR,0.2999,0.298,0.298,0.298,0.2999,0.2999,0.298,0.298,0.2961,0.2961,0.2961,0.2942,0.2942,0.2999,0.298
47,BRITANNIA,0.2999,0.298,0.298,0.298,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.2961,0.2961,0.2961,0.298,0.298
16,TCS,0.2904,0.2904,0.2904,0.2904,0.2904,0.2904,0.2885,0.2904,0.2942,0.2942,0.2923,0.2942,0.2942,0.2942,0.292
69,DABUR,0.2808,0.2789,0.2789,0.2789,0.2789,0.2789,0.2789,0.277,0.277,0.277,0.277,0.2751,0.277,0.2789,0.278
29,NESTLEIND,0.2713,0.2713,0.2713,0.2713,0.2713,0.2713,0.2694,0.2694,0.2694,0.2675,0.2675,0.2675,0.2675,0.2675,0.27
33,COLPAL,0.2579,0.2598,0.2598,0.2598,0.2598,0.2598,0.2579,0.2579,0.2579,0.256,0.256,0.256,0.256,0.256,0.258
