,SYMBOL,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,25-APR-2022,26-APR-2022,27-APR-2022,28-APR-2022,29-APR-2022,V AVERAGE
73,NTPC,0.3439,0.3439,0.3515,0.3515,0.3496,0.3496,0.3496,0.3515,0.3496,0.3496,0.3496,0.3515,0.349
65,SBILIFE,0.3458,0.3439,0.3458,0.3496,0.3477,0.3477,0.3477,0.3515,0.3496,0.3496,0.3534,0.3515,0.349
46,HDFCBANK,0.3439,0.3439,0.3496,0.3534,0.3515,0.3515,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.349
50,DIVISLAB,0.3496,0.3496,0.3477,0.3496,0.3477,0.3477,0.3477,0.3477,0.3477,0.3477,0.3458,0.3458,0.348
12,ASIANPAINT,0.3439,0.3439,0.3439,0.342,0.3439,0.3458,0.3439,0.3439,0.342,0.342,0.3439,0.3439,0.344
81,POWERGRID,0.3458,0.3458,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.3439,0.3439,0.3458,0.3477,0.344
28,HCLTECH,0.342,0.342,0.342,0.3439,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3382,0.342
87,LT,0.3324,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3305,0.3324,0.3324,0.3324,0.3324,0.332
71,SUNPHARMA,0.3324,0.3305,0.3305,0.3305,0.3286,0.3305,0.3305,0.3305,0.3324,0.3305,0.3305,0.3305,0.331
23,PIDILITIND,0.3286,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.327
52,CIPLA,0.3248,0.3248,0.3248,0.3267,0.3248,0.3248,0.3267,0.3267,0.3286,0.3267,0.3267,0.3248,0.326
27,INFY,0.3114,0.3095,0.3267,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.325
24,DRREDDY,0.321,0.321,0.3191,0.3191,0.321,0.3191,0.321,0.321,0.321,0.321,0.321,0.3191,0.32
82,ITC,0.321,0.321,0.3191,0.3229,0.321,0.321,0.3191,0.321,0.321,0.3191,0.3191,0.3191,0.32
36,BERGEPAINT,0.321,0.3191,0.3191,0.321,0.3191,0.3191,0.3191,0.3171,0.3171,0.3152,0.3152,0.3152,0.318
30,BAJAJ-AUTO,0.3133,0.3133,0.3133,0.3133,0.3133,0.3114,0.3114,0.3114,0.3191,0.3191,0.3191,0.321,0.315
92,PGHH,0.2999,0.2999,0.298,0.298,0.298,0.298,0.2961,0.298,0.298,0.2961,0.2999,0.3019,0.298
45,MARICO,0.2961,0.2961,0.2942,0.2961,0.2961,0.2961,0.2961,0.2961,0.2961,0.2961,0.298,0.3019,0.297
47,BRITANNIA,0.2942,0.2923,0.2923,0.2942,0.2923,0.2923,0.2923,0.2923,0.2942,0.2942,0.2923,0.2942,0.293
18,HINDUNILVR,0.2847,0.2847,0.2847,0.2866,0.2885,0.2885,0.2904,0.2904,0.2904,0.2904,0.2961,0.2942,0.289
16,TCS,0.2789,0.2789,0.2828,0.2828,0.2847,0.2847,0.2847,0.2847,0.2828,0.2828,0.2828,0.2828,0.283
69,DABUR,0.2713,0.2694,0.2694,0.2713,0.2713,0.2713,0.2713,0.2713,0.2713,0.2694,0.2713,0.2732,0.271
29,NESTLEIND,0.2617,0.2598,0.2598,0.2636,0.2636,0.2636,0.2636,0.2617,0.2617,0.2617,0.2617,0.2617,0.262
33,COLPAL,0.2541,0.2541,0.2541,0.256,0.256,0.2579,0.2598,0.2579,0.2579,0.2579,0.2579,0.256,0.257
