,SYMBOL,01-SEP-2021,02-SEP-2021,03-SEP-2021,06-SEP-2021,07-SEP-2021,08-SEP-2021,09-SEP-2021,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,V AVERAGE
5,ULTRACEMCO,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.364
31,HCLTECH,0.363,0.363,0.3611,0.363,0.3611,0.3611,0.3611,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.361
15,LT,0.3592,0.3592,0.3573,0.3573,0.3573,0.3554,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.355
2,SIEMENS,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.354
56,TORNTPHARM,0.3573,0.3554,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3496,0.353
25,IOC,0.3554,0.3534,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3515,0.352
41,CIPLA,0.3534,0.3554,0.3554,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.351
76,ASIANPAINT,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3458,0.3458,0.3458,0.35
36,PETRONET,0.3554,0.3534,0.3534,0.3534,0.3515,0.3515,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.35
30,POWERGRID,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3477,0.3496,0.3477,0.3477,0.3458,0.35
64,DRREDDY,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3439,0.3439,0.342,0.342,0.342,0.342,0.345
34,NTPC,0.342,0.342,0.3401,0.3401,0.3401,0.3382,0.3382,0.3362,0.3362,0.3477,0.3477,0.3458,0.3458,0.342
17,ACC,0.3439,0.3439,0.3439,0.3439,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.3382,0.3382,0.3401,0.341
11,HDFCBANK,0.3439,0.342,0.342,0.342,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.339
49,BAJAJ-AUTO,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.339
44,DIVISLAB,0.3401,0.3382,0.3382,0.3362,0.3362,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.3324,0.3324,0.336
80,BERGEPAINT,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3267,0.33
67,INFY,0.3324,0.3305,0.3305,0.3305,0.3305,0.3286,0.3286,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.328
96,ALKEM,0.3248,0.3248,0.3248,0.3248,0.3248,0.3229,0.3229,0.3229,0.321,0.321,0.321,0.321,0.3191,0.323
93,ABBOTINDIA,0.321,0.321,0.321,0.3191,0.3191,0.3191,0.321,0.3248,0.3229,0.3229,0.3229,0.3229,0.3229,0.322
86,BRITANNIA,0.321,0.321,0.321,0.321,0.321,0.3191,0.3191,0.3171,0.3171,0.3171,0.3152,0.3152,0.3152,0.318
68,ITC,0.3191,0.3171,0.3171,0.3152,0.3152,0.3152,0.3152,0.3133,0.3133,0.3133,0.3248,0.3229,0.3229,0.317
40,PIDILITIND,0.3171,0.3171,0.3171,0.3152,0.3152,0.3133,0.3133,0.3152,0.3133,0.3133,0.3114,0.3114,0.3114,0.314
60,TCS,0.3095,0.3114,0.3114,0.3095,0.3095,0.3095,0.3095,0.3095,0.3076,0.3076,0.3076,0.3076,0.3076,0.309
79,NESTLEIND,0.2999,0.3019,0.2999,0.2999,0.298,0.2999,0.3019,0.3019,0.3019,0.2999,0.2999,0.2999,0.298,0.3
92,HINDUNILVR,0.2942,0.2961,0.2961,0.2942,0.2942,0.2942,0.2923,0.2923,0.2923,0.2923,0.2904,0.2904,0.2923,0.293
59,MARICO,0.2923,0.2942,0.2923,0.2923,0.2923,0.2904,0.2923,0.2923,0.2942,0.2942,0.2923,0.2923,0.2923,0.293
69,COLPAL,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.2942,0.2923,0.2923,0.2923,0.2904,0.2904,0.293
94,PGHH,0.2694,0.2694,0.2694,0.2675,0.2694,0.2694,0.2713,0.2713,0.2732,0.2713,0.2713,0.2713,0.2713,0.27
84,DABUR,0.2617,0.2617,0.2617,0.2617,0.2617,0.2598,0.2598,0.2598,0.2579,0.2579,0.2579,0.2579,0.2579,0.26
