,SYMBOL,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,08-APR-2022,11-APR-2022,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,20-APR-2022,21-APR-2022,22-APR-2022,V AVERAGE
71,SUNPHARMA,0.3439,0.342,0.342,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3286,0.3305,0.3305,0.334
87,LT,0.3286,0.3286,0.3286,0.3324,0.3305,0.3324,0.3324,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.331
52,CIPLA,0.3362,0.3362,0.3362,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3267,0.3248,0.3248,0.3267,0.328
23,PIDILITIND,0.3095,0.3095,0.3095,0.3267,0.3267,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3267,0.3267,0.324
82,ITC,0.3305,0.3305,0.3305,0.3171,0.321,0.321,0.321,0.321,0.3191,0.3229,0.321,0.321,0.3191,0.323
24,DRREDDY,0.3114,0.3114,0.3114,0.321,0.321,0.321,0.321,0.321,0.3191,0.3191,0.321,0.3191,0.321,0.318
36,BERGEPAINT,0.3095,0.3076,0.3076,0.3229,0.321,0.321,0.321,0.3191,0.3191,0.321,0.3191,0.3191,0.3191,0.317
27,INFY,0.3076,0.3076,0.3095,0.3114,0.3095,0.3114,0.3114,0.3095,0.3267,0.3286,0.3286,0.3286,0.3286,0.317
30,BAJAJ-AUTO,0.3114,0.3114,0.3114,0.3152,0.3133,0.3133,0.3133,0.3133,0.3133,0.3133,0.3133,0.3114,0.3114,0.313
92,PGHH,0.2675,0.2675,0.2675,0.3019,0.3019,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.298,0.2961,0.292
47,BRITANNIA,0.2866,0.2847,0.2847,0.2961,0.2961,0.2942,0.2942,0.2923,0.2923,0.2942,0.2923,0.2923,0.2923,0.292
45,MARICO,0.2732,0.2732,0.277,0.298,0.298,0.2961,0.2961,0.2961,0.2942,0.2961,0.2961,0.2961,0.2961,0.291
18,HINDUNILVR,0.2694,0.2675,0.2675,0.2866,0.2866,0.2847,0.2847,0.2847,0.2847,0.2866,0.2885,0.2885,0.2904,0.282
16,TCS,0.277,0.2789,0.2789,0.2808,0.2808,0.2808,0.2789,0.2789,0.2828,0.2828,0.2847,0.2847,0.2847,0.281
69,DABUR,0.2407,0.2407,0.2407,0.2713,0.2713,0.2713,0.2713,0.2694,0.2694,0.2713,0.2713,0.2713,0.2713,0.264
29,NESTLEIND,0.2675,0.2675,0.2675,0.2617,0.2617,0.2617,0.2617,0.2598,0.2598,0.2636,0.2636,0.2636,0.2636,0.263
33,COLPAL,0.2617,0.2617,0.2617,0.256,0.256,0.2541,0.2541,0.2541,0.2541,0.256,0.256,0.2579,0.2598,0.257
