SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
MARUTI,2022-05-30,EQ,7942.95,7980.2,8060.0,7951.0,8008.0,389517,115223,29.580000000000002,-,0,0
MARUTI,2022-05-31,EQ,8013.9,8013.9,8100.0,7900.0,7999.7,2494005,1445488,57.96,-,0,0
MARUTI,2022-06-01,EQ,7966.35,7975.05,8068.9,7880.1,7930.0,522004,180450,34.57,-,0,0
MARICO,2022-05-30,EQ,526.1,527.6,537.9,526.0,535.5,980868,466969,47.61,-,0,0
MARICO,2022-05-31,EQ,535.85,534.5,551.9,526.65,533.8,7603590,5193186,68.3,-,0,0
MARICO,2022-06-01,EQ,533.65,532.95,538.55,518.0,520.75,1623158,861342,53.07000000000001,-,0,0
M&M,2022-05-30,EQ,952.85,972.25,1011.75,957.05,1000.0,11690785,4015619,34.35,-,0,0
M&M,2022-05-31,EQ,998.35,997.95,1043.0,992.0,1032.0,13301109,6909245,51.94,-,0,0
M&M,2022-06-01,EQ,1034.35,1035.0,1057.25,1014.8,1047.0,7889745,2816061,35.69,-,0,0
LUPIN,2022-05-30,EQ,605.75,610.35,617.1,609.05,613.0,964272,392213,40.67,-,0,0
LUPIN,2022-05-31,EQ,612.9,610.0,625.0,603.75,623.0,3069486,2164674,70.52,-,0,0
LUPIN,2022-06-01,EQ,618.6,621.55,624.05,604.25,606.8,1686662,791239,46.91,-,0,0
LTI,2022-05-30,EQ,3998.0,4080.0,4215.0,4051.05,4200.0,586924,195639,33.33,-,0,0
LTI,2022-05-31,EQ,4191.1,4209.8,4278.0,4138.45,4265.0,687879,317440,46.150000000000006,-,0,0
LTI,2022-06-01,EQ,4253.7,4274.85,4297.5,4180.0,4213.95,540298,265250,49.09,-,0,0
LT,2022-05-30,EQ,1600.3,1620.0,1663.7,1613.6,1662.5,2119326,1195161,56.39000000000001,-,0,0
LT,2022-05-31,EQ,1660.85,1660.5,1674.4,1645.0,1648.4,3534742,2483096,70.25,-,0,0
LT,2022-06-01,EQ,1654.5,1653.55,1661.0,1638.45,1650.0,1425466,714066,50.09,-,0,0
KOTAKBANK,2022-05-30,EQ,1946.2,1945.25,1951.75,1895.55,1907.0,3987800,2495693,62.580000000000005,-,0,0
KOTAKBANK,2022-05-31,EQ,1903.2,1891.1,1896.15,1828.35,1837.0,14830306,12110412,81.66,-,0,0
KOTAKBANK,2022-06-01,EQ,1846.85,1840.0,1874.0,1835.35,1871.0,2382645,1241626,52.11,-,0,0
JUBLFOOD,2022-05-30,EQ,516.75,529.75,573.75,511.5,566.65,16680979,2322270,13.919999999999998,-,0,0
JUBLFOOD,2022-05-31,EQ,566.85,556.0,565.0,547.2,550.9,8026161,2837248,35.35,-,0,0
