,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
140,GAIL,2022-06-20,EQ,138.95,139.95,139.95,129.0,131.5,131.15,131.85,11374439,149973880050000.0,79751,3648396,32.08,-,0,0.413
141,GAIL,2022-06-21,EQ,131.15,134.0,137.0,131.5,136.45,136.35,135.9,9487405,128933002525000.0,73225,3009908,31.730000000000004,-,0,0.413
176,BAJAJHLDNG,2022-06-20,EQ,4471.7,4471.7,4545.0,4294.05,4533.3,4495.8,4405.91,42222,18602648075000.0,12424,8850,20.96,-,0,0.406
177,BAJAJHLDNG,2022-06-21,EQ,4495.8,4496.0,4718.9,4495.9,4590.0,4596.05,4623.16,49258,22772775605000.0,14609,12266,24.9,-,0,0.406
86,MUTHOOTFIN,2022-06-20,EQ,999.8,999.9,1022.0,987.0,997.1,993.6,993.48,535579,53208582150000.0,24322,104847,19.58,-,0,0.405
87,MUTHOOTFIN,2022-06-21,EQ,993.6,1006.8,1025.55,998.15,1022.1,1022.5,1016.77,226063,22985353430000.0,15557,72903,32.25,-,0,0.405
40,TECHM,2022-06-20,EQ,965.05,965.0,988.15,948.05,987.0,979.35,966.15,2985094,288403612205000.0,117512,1165727,39.05,-,0,0.399
41,TECHM,2022-06-21,EQ,979.35,991.4,1004.65,980.0,999.95,1000.1,993.77,3433536,341213136315000.0,90980,1537706,44.78,-,0,0.399
56,SBIN,2022-06-20,EQ,441.0,441.5,443.45,430.7,434.65,434.7,436.85,12368534,540315318635000.06,172757,4715450,38.12,-,0,0.395
57,SBIN,2022-06-21,EQ,434.7,439.5,454.95,437.6,451.0,450.75,447.76,13801891,617993679115000.0,178846,4775043,34.6,-,0,0.395
60,SBICARD,2022-06-20,EQ,685.7,690.0,690.0,655.7,677.25,675.1,670.56,1642225,110121279795000.0,66845,802301,48.85,-,0,0.395
61,SBICARD,2022-06-21,EQ,675.1,678.5,728.15,678.5,720.9,720.9,710.43,2409444,171174289530000.0,63560,941473,39.07,-,0,0.395
188,AMBUJACEM,2022-06-20,EQ,357.35,357.5,359.95,356.1,357.0,357.3,357.83,2297837,82222673600000.0,20096,1035190,45.05,-,0,0.394
189,AMBUJACEM,2022-06-21,EQ,357.3,358.1,360.95,358.1,358.2,358.9,359.31,3693727,132718999975000.0,24320,2151121,58.24,-,0,0.394
96,LUPIN,2022-06-20,EQ,597.6,598.05,609.95,595.0,609.95,606.8,600.56,621098,37300449515000.0,15113,193078,31.09,-,0,0.392
97,LUPIN,2022-06-21,EQ,606.8,610.0,634.9,608.95,630.7,629.85,628.43,1735545,109067480700000.0,35650,233540,13.460000000000004,-,0,0.392
166,BOSCHLTD,2022-06-20,EQ,13329.75,13400.0,13438.3,13165.0,13327.4,13286.2,13297.21,11196,14887551840000.0,4010,2958,26.420000000000005,-,0,0.391
